name,apparition,affiliations,occupations,origin,status,height,weight,bloodtype,fruit.name,devilfruit.type,residence,bounty,key,haki.observation,haki.armament,haki.conqueror
Charlotte Lola,476.0,rollingpirates,piratecaptain,grandline,Alive,215.0,,F,,,cacaoisland,24000000.0,charlottelola,0.0,0.0,0.0
Charlotte Maple,897.0,charlottefamily,pirateofficer,,Alive,,,,,,,,charlottemaple,0.0,0.0,0.0
Charlotte Marble,894.0,charlottefamily,pirateofficer,,Alive,,,,,,,,charlottemarble,0.0,0.0,0.0
Charlotte Marnier,861.0,charlottefamily,pirateofficer,,Alive,,,,,,kiboisland,,charlottemarnier,0.0,0.0,0.0
Charlotte Mascarpone,845.0,charlottefamily,pirateofficer,,Alive,,,,,,cutleryisland,,charlottemascarpone,0.0,0.0,0.0
Charlotte Mash,865.0,charlottefamily,pirateofficer,,Alive,,,,,,,,charlottemash,0.0,0.0,0.0
Charlotte Melise,854.0,charlottefamily,pirateofficer,,Alive,,,,,,,,charlottemelise,0.0,0.0,0.0
Charlotte Mobile,862.0,charlottefamily,pirateofficer,,Alive,,,,,,futoruisland,,charlottemobile,0.0,0.0,0.0
Charlotte Monder,854.0,charlottefamily,pirateofficer,,Alive,,,,,,,,charlottemonder,0.0,0.0,0.0
Charlotte Montb,897.0,charlottefamily,pirateofficer,,Alive,,,,,,,,charlottemontb,0.0,0.0,0.0
Charlotte Montd'Or Charlotte Mont-d'Or,829.0,charlottefamily,pirateofficer,grandline,Alive,260.0,,X,Book-Book Fruit,Paramecia,cheeseisland,120000000.0,charlottemontd'orcharlottemont-d'or,0.0,0.0,0.0
Charlotte Moscato,829.0,charlottefamily,pirateofficer,,Alive,,,,,,iceisland,,charlottemoscato,0.0,0.0,0.0
Charlotte Mozart,862.0,charlottefamily,pirateofficer,,Alive,,,,,,,,charlottemozart,0.0,0.0,0.0
Charlotte Myukuru,845.0,charlottefamily,pirateofficer,,Alive,,,,,,,,charlottemyukuru,0.0,0.0,0.0
Charlotte Newshi,854.0,charlottefamily,pirate,,Alive,,,,Pile-Pile Fruit[7],Paramecia,,,charlottenewshi,0.0,0.0,0.0
Charlotte Noisette,862.0,charlottefamily,pirateofficer,,Alive,,,,,,kinkoisland,,charlottenoisette,0.0,0.0,0.0
Charlotte Normande,845.0,charlottefamily,,,Alive,,,,,,,,charlottenormande,0.0,0.0,0.0
Charlotte Nougat,894.0,charlottefamily,pirateofficer,,Alive,,,,,,,,charlottenougat,0.0,0.0,0.0
Charlotte Nusstorte,854.0,charlottefamily,pirateofficer,,Alive,,,,,,packageisland,,charlottenusstorte,0.0,0.0,0.0
Charlotte Nutmeg,894.0,charlottefamily,pirate,,Alive,,,,,,,,charlottenutmeg,0.0,0.0,0.0
Charlotte Opera,829.0,charlottefamily,pirateofficer,,Unknown,,,,Cream-Cream Fruit,Paramecia,nokoisland,,charlotteopera,0.0,0.0,0.0
Charlotte Oven,861.0,charlottefamily,pirateofficer,grandline,Alive,492.0,,F,Heat-Heat Fruit,Paramecia,yakigashiisland,300000000.0,charlotteoven,1.0,1.0,0.0
Charlotte Panna,897.0,charlottefamily,pirateofficer,,Alive,,,,,,,,charlottepanna,0.0,0.0,0.0
Charlotte Perospero,834.0,charlottefamily,pirateofficer,grandline,Alive,333.0,,X,Lick-Lick Fruit,Paramecia,candyisland,700000000.0,charlotteperospero,1.0,1.0,0.0
Charlotte Poire,860.0,charlottefamily,pirateofficer,,Alive,,,,,,,,charlottepoire,0.0,0.0,0.0
Charlotte Praline,830.0,sunpirates,ministerofdesign,grandline,Alive,800.0,,S (RH-),,,uniqueisland,,charlottepraline,0.0,0.0,0.0
Charlotte Prim,896.0,charlottefamily,pirateofficer,grandline,Alive,,,,,,,,charlotteprim,0.0,0.0,0.0
Charlotte Pudding,651.0,charlottefamily,pirateofficer,grandline,Alive,166.0,,XF,Memo-Memo Fruit,Paramecia,cacaoisland,,charlottepudding,0.0,0.0,0.0
Charlotte Raisin,845.0,charlottefamily,pirateofficer,,Alive,,,,,,,,charlotteraisin,0.0,1.0,0.0
Charlotte Saintmarc,862.0,charlottefamily,pirateofficer,,Alive,,,,,,flavorisland,,charlottesaintmarc,0.0,0.0,0.0
Charlotte Smoothie,846.0,charlottefamily,sweetcommander,grandline,Alive,464.0,,F,Wring-Wring Fruit,Paramecia,100%island,932000000.0,charlottesmoothie,1.0,1.0,0.0
Charlotte Snack,894.0,charlottefamily,pirateofficer,,Alive,,,,,,potatoisland,600000000.0,charlottesnack,0.0,0.0,0.0
Charlotte Tablet,862.0,charlottefamily,pirateofficer,,Alive,,,,,,toppingisland,,charlottetablet,0.0,0.0,0.0
Charlotte Uiro,845.0,charlottefamily,,,Alive,,,,,,,,charlotteuiro,0.0,0.0,0.0
Charlotte Wafers,845.0,charlottefamily,,,Alive,,,,,,,,charlottewafers,0.0,0.0,0.0
Charlotte Yuen,894.0,charlottefamily,pirateofficer,,Alive,,,,,,,,charlotteyuen,0.0,0.0,0.0
Charlotte Zuccotto,862.0,charlottefamily,pirateofficer,,Alive,,,,,,liqueurisland,,charlottezuccotto,0.0,0.0,0.0
Chess,131.0,blikingpirates;drumkingdom,headofstaff,grandline,Alive,194.0,,S,,,,,chess,0.0,0.0,0.0
Chesskipper,398.0,,pirate,,Unknown,,,,,,,,chesskipper,0.0,0.0,0.0
Chessmarimo,147.0,blikingpirates;drumkingdom,servantofwapol,,Alive,,,,,,,,chessmarimo,0.0,0.0,0.0
Chichilisia,879.0,,leaderofthenihonavy,,Alive,,,,,,,,chichilisia,0.0,0.0,0.0
Chimney,322.0,kokoro,sundaystationmasteroftheshiftstation,grandline,Alive,115.0,,S,,,water7,,chimney,0.0,0.0,0.0
Chin,625.0,poseidon,,,Alive,,,,,,,,chin,0.0,0.0,0.0
,,,,,,,,,,,,,,1.0,1.0,1.0
Choco-Police,827.0,cacaoisland,policeofficer,,Unknown,,,,,,chocolattown;cacaoisland;tottoland,,choco-police,0.0,0.0,0.0
Chocolat,598.0,fakestrawhatcrew,pirate,eastblue,Unknown,181.0,,X,,,,,chocolat,0.0,0.0,0.0
Choi,555.0,allyofthewhitebeardpirates,piratecaptain,,Alive,,,,,,,,choi,0.0,0.0,0.0
Chome,931.0,beastspirates,ninja,wanocountry,Alive,150.0,,F,,,flowercapital;wanocountry,,chome,0.0,0.0,0.0
Choo,69.0,arlongpirates,pirateofficer,grandline,Alive,257.0,,X,,,fish-mandistrict,5500000.0,choo,0.0,0.0,0.0
Chouchou,12.0,hocker,pet,eastblue,Alive,40.0,,,,,orangetown,,chouchou,0.0,0.0,0.0
Chuchun,306.0,foxypirates,pirate,,Alive,,,,,,,,chuchun,0.0,0.0,0.0
Chuji,1034.0,,pet,,Alive,,,,,,,,chuji,0.0,0.0,0.0
Clapp,1095.0,,slave,southblue,Deceased,,,,,,sorbetkingdom,,clapp,0.0,0.0,0.0
Clione,810.0,heartpirates,pirate,,Unknown,,,,,,,,clione,0.0,0.0,0.0
Clou D. Clover,391.0,oharaarchaeologists,professorandarchaeologistofthetreeofknowledge,westblue,Deceased,172.0,,X,,,,,cloud.clover,0.0,0.0,0.0
Cocoa,598.0,fakestrawhatcrew,pirate,eastblue,Alive,138.0,,X,,,,,cocoa,0.0,0.0,0.0
Collun,1076.0,,,,Alive,,,,,,elbaph,,collun,0.0,0.0,0.0
Colscon,574.0,whitebeardpirates,pirate,,Alive,,,,,,,,colscon,0.0,0.0,0.0
Columbus,906.0,yontamariagrandfleet,pirate,,Alive,,,,,,,,columbus,0.0,0.0,0.0
Comane,903.0,lulusiakingdom,princess,,Unknown,,,,,,,,comane,0.0,0.0,0.0
"Comp ,Compo",1040.0,kidpirates,pirate,,Unknown,,,,,,,,"comp,compo",0.0,0.0,0.0
Concelot,809.0,mokomodukedom,threeinuarashimusketeers,grandline,Alive,204.0,,F,,,kuraucity;zou,,concelot,0.0,0.0,0.0
Conis,239.0,pumpkincafe,waitress,grandline,Alive,176.0,,F,,,,,conis,0.0,0.0,0.0
Conney,1099.0,,queendowager,southblue,Alive,73.0,,XF,,,sorbetkingdom,,conney,0.0,0.0,0.0
Corgy,328.0,worldgovernment,governmentofficial,,Alive,,,,,,,,corgy,0.0,0.0,0.0
Coribou,600.0,cariboupirates,pirate,northblue,Alive,250.0,,XF,,,,190000000.0,coribou,0.0,0.0,0.0
Cornelia,552.0,spadepirates,pirate,,Alive,,,,,,,,cornelia,0.0,0.0,0.0
Cosette,839.0,germakingdom,headchef,,Alive,,,,,,,,cosette,0.0,0.0,0.0
Cosmo,437.0,automata,sergeant,,Alive,,,,,,,,cosmo,0.0,0.0,0.0
Cosmos,516.0,kuja,pirate,calmbelt,Alive,,,,,,amazonlily,,cosmos,0.0,0.0,0.0
Cotton,718.0,tontattakingdomscoutingunit,scout,,Alive,,,,,,,,cotton,0.0,0.0,0.0
Crocodile,126.0,crossguild,pirate,grandline,Alive,253.0,,S,Sand-Sand Fruit,Logia,rainbase;arabasta,81000000.0,crocodile,0.0,0.0,0.0
Crocus,102.0,rogerpirates;laboon,doctor,grandline,Alive,203.0,,XF,,,reversemountain,,crocus,1.0,0.0,0.0
Crone Oli,1076.0,redhairpirates,piratecaptain,,Alive,,,,,,,,croneoli,0.0,0.0,0.0
Cub,710.0,tontattakingdom,leaderofyellowkabusquad,,Alive,,,,"Bug-Bug Fruit, Model: Rhinoceros beetle",Zoan,,,cub,0.0,0.0,0.0
Curiel,552.0,whitebeardpirates,10thdivisioncommander,grandline,Alive,,,,,,,,curiel,0.0,0.0,0.0
Curly Dadan,440.0,dadanfamily,mountainbanditboss,eastblue,Alive,221.0,,X,,,mt.colubo,7800000.0,curlydadan,0.0,0.0,0.0
D.R. DR,,cyrano,criminal,,Deceased,,,,,,,1800000.0,d.r.dr,0.0,0.0,0.0
Daedalus,630.0,,,grandline,Deceased,,,,,,fish-mandistrict,,daedalus,0.0,0.0,0.0
Dagama,704.0,prodencekingdom,tactician,,Alive,,,,,,,,dagama,0.0,0.0,0.0
Daifugo,934.0,beastspirates,shinuchi,,Alive,,,,Scorpion Smile,Artificial Zoan,,,daifugo,0.0,0.0,0.0
Daigin,531.0,marines,commodore,westblue,Alive,,,,,,,,daigin,0.0,0.0,0.0
Daikoku,931.0,beastspirates,ninja,wanocountry,Alive,436.0,,S,,,flowercapital;wanocountry,,daikoku,0.0,0.0,0.0
Daikon,732.0,tontattakingdomscoutingunitstrawhatgrandfleet,scout,,Alive,,,,,,,,daikon,0.0,0.0,0.0
Daisy,516.0,kuja,pirate,calmbelt,Alive,,,,,,amazonlily,,daisy,0.0,0.0,0.0
Dalmation Dalmatian,553.0,marines,viceadmiral,,Alive,,,,,,,,dalmationdalmatian,0.0,0.0,0.0
DaltonDolton,132.0,sakurakingdom,kingofthesakurakingdom,grandline,Alive,218.0,,X,"Ox-Ox Fruit, Bison Model",Zoan,bighorn,,daltondolton,0.0,0.0,0.0
Damask,706.0,,pyromaniac,,Alive,,,,,,,,damask,0.0,0.0,0.0
Daruma,611.0,newfish-manpirates,pirate,grandline,Alive,122.0,,F,,,fish-mandistrict,,daruma,0.0,0.0,0.0
Daz Bonez,160.0,crossguild,pirate,westblue,Alive,212.0,,F,Dice-Dice Fruit,Paramecia,,75000000.0,dazbonez,0.0,0.0,0.0
Decalvan Brothers DeCalvan Brothers,551.0,subordinatesofthewhitebeardpirates,pirates,,Alive,,,,,,,,decalvanbrothersdecalvanbrothers,0.0,0.0,0.0
Decuplets,845.0,charlottefamily,pirates,,Alive,,,,,,,,decuplets,0.0,0.0,0.0
Decuplets,845.0,charlottefamily,pirates,,Alive,,,,,,,,decuplets,0.0,0.0,0.0
Decuplets,845.0,charlottefamily,pirates,,Alive,,,,,,,,decuplets,0.0,0.0,0.0
Decuplets,845.0,charlottefamily,pirates,,Alive,,,,,,,,decuplets,0.0,0.0,0.0
Delacuaji,551.0,subordinateofthewhitebeardpirates,pirate,,Alive,,,,,,,,delacuaji,0.0,0.0,0.0
Dellinger,702.0,donquixotepirates,pirateofficer,northblue,Alive,145.0,,S (RH-),,,spidermiles,15000000.0,dellinger,0.0,0.0,0.0
Demalo BlackDemaro Black‡),598.0,fakestrawhatcrew,piratecaptain,eastblue,Alive,245.0,,S,,,,26000000.0,demaloblackdemaroblack‡),0.0,0.0,0.0
Den,616.0,,shipwright,grandline,Alive,435.0,,X,,,seaforest,,den,0.0,0.0,0.0
Denjiro,919.0,kouzukifamily,daimyo,grandline,Alive,306.0,,XF,,,wanocountry,,denjiro,1.0,1.0,0.0
Devil Dias,497.0,acumatepirates,pirate,,Unknown,,,,,,,,devildias,0.0,0.0,0.0
Dez Tinny,526.0,,prisoner,grandline,Alive,,,,,,,,deztinny,0.0,0.0,0.0
Diamante,700.0,donquixotepirates,pirateexecutiveofficer,northblue,Alive,525.0,,S,Ripple-Ripple Fruit,Paramecia,downsspidermilesdressrosa,99000000.0,diamante,1.0,1.0,0.0
Didit,585.0,goakingdom,noble,,Alive,,,,,,,,didit,0.0,0.0,0.0
Diesel,827.0,bigmompirates,pirate,,Alive,,,,,,tottoland,,diesel,0.0,0.0,0.0
Diez BarrelsX. Barrels,765.0,barrelspirates,pirate,,Deceased,,,,,,minionisland,,diezbarrelsx.barrels,0.0,0.0,0.0
Disc J,1040.0,kidpirates,pirate,,Unknown,,,,,,,,discj,0.0,0.0,0.0
Disco,500.0,donquixotedoflamingo,ownerofhumanauctioninghouse,grandline,Alive,,,,,,sabaodyarchipelago,,disco,0.0,0.0,0.0
Dive,1024.0,kidpirates,pirate,,Unknown,,,,,,,,dive,0.0,0.0,0.0
Django,25.0,marines,marinelieutetcommander,eastblue,Alive,207.0,,S,,,,9000000.0,django,0.0,0.0,0.0
Dobby Ibadonbo,531.0,,prisonerofimpeldown,,Unknown,,,,,,,,dobbyibadonbo,0.0,0.0,0.0
Doberman,420.0,marines,viceadmiral,,Alive,,,,,,,,doberman,0.0,0.0,0.0
Dobon,926.0,beastspirates,shinuchi,,Alive,,,,Hippopotamus Smile,Artificial Zoan,,,dobon,0.0,0.0,0.0
Doc Q,223.0,blackbeardpirates,pirate,northblue,Alive,342.0,,S,Sick-Sick Fruit,Paramecia,hachinosu,72000000.0,docq,0.0,0.0,0.0
Dog PenguinInuppe,451.0,thrillerbark,wildzombie,,Deceased,,,,,,,,dogpenguininuppe,0.0,0.0,0.0
DogstormDogupine Inuarashi,808.0,mokomodukedom,daimyo,grandline,Alive,511.0,,X,,,zouwanocountry,,dogstormdogupineinuarashi,0.0,0.0,0.0
Dogura,582.0,dadanfamily,bandit,,Alive,,,,,,mt.colubo,,dogura,0.0,0.0,0.0
Dogya,552.0,spadepirates,pirate,,Alive,,,,,,,,dogya,0.0,0.0,0.0
Dolan,658.0,,,,Alive,,,,,,,,dolan,0.0,0.0,0.0
Doll,1061.0,marines,viceadmiral,,Alive,,,,,,g-14,,doll,0.0,0.0,0.0
Doma,551.0,subordinateofthewhitebeardpirates,pirate,,Alive,,,,,,,,doma,0.0,0.0,0.0
Domino,526.0,impeldown,headjailer,grandline,Alive,,,,,,,,domino,0.0,0.0,0.0
"Domo-kun, Nnke-kun",9.0,,,,Alive,,,,,,,,"domo-kun,nnke-kun",0.0,0.0,0.0
"Domo-kun, Nnke-kun",9.0,,,,Alive,,,,,,,,"domo-kun,nnke-kun",0.0,0.0,0.0
Donkino,966.0,rogerpirates,pirate,,Unknown,,,,,,,,donkino,0.0,0.0,0.0
Donovan,318.0,foxypirates,pirate,,Alive,,,,,,,,donovan,0.0,0.0,0.0
Don Quixote Doflamingo,233.0,donquixotepirates,piratecaptain,redline,Alive,305.0,,X,String-String Fruit,Paramecia,marygeoise,340000000.0,donquixotedoflamingo,1.0,1.0,1.0
Don Quixote Homing,760.0,worldgovernment,worldnoble,,Deceased,,,,,,marygeoise,,donquixotehoming,0.0,0.0,0.0
"Don Quixote Myosgard , Funimation)Don Quixote Mjosgard Donquixote Myosgard",625.0,worldgovernment,worldnoble,,Deceased,211.0,,X,,,marygeoise,,"donquixotemyosgard,funimation)donquixotemjosgarddonquixotemyosgard",0.0,0.0,0.0
Don Quixote Rocinante,761.0,marines,marinecommander,redline,Deceased,293.0,,S,Calm-Calm Fruit,Paramecia,marygeoisespidermiles,,donquixoterocinante,0.0,0.0,0.0
Doringo,0.0,rogerpirates,pirate,,Unknown,,,,,,,,doringo,0.0,0.0,0.0
Dorrow,,marines,viceadmiral,,Alive,,,,,,,,dorrow,0.0,0.0,0.0
Dorry,116.0,giantwarriorpirates,piratecaptain,grandline,Alive,2260.0,,F,,,elbaphlittlegarden,100000000.0,dorry,0.0,0.0,0.0
Dosun,611.0,newfish-manpirates,pirate,grandline,Alive,418.0,,S,,,fish-mandistrict,,dosun,0.0,0.0,0.0
Dotaku,926.0,kouzukifamily,samurai,,Alive,,,,,,wanocountry,,dotaku,0.0,0.0,0.0
Dr. Fishbonen,594.0,marines,doctor,,Alive,,,,,,,,dr.fishbonen,0.0,0.0,0.0
Dr. HirilukDr. Hiruruku,141.0,,doctor,grandline,Deceased,213.0,,F,,,drumisland,,dr.hirilukdr.hiruruku,0.0,0.0,0.0
Dr. Hou Dr. Ooh,213.0,nefertarifamily,doctor,,Alive,,,,,,,,dr.houdr.ooh,0.0,0.0,0.0
Dr. Vegapunk,684.0,mads,scientist,grandline,Deceased,314.0,,S,Brain-Brain Fruit,Paramecia,egghead,,dr.vegapunk,0.0,0.0,0.0
,,,,,,,,,,,,,,1.0,1.0,0.0
Dracule MihawkDiego Mihawk,49.0,crossguild,pirate,,Alive,198.0,,S,,,kuraiganaisland,3590000000.0,draculemihawkdiegomihawk,0.0,0.0,0.0
Dragon Number Thirteen,655.0,,guard,,Deceased,,,,,,punkhazard,,dragonnumberthirteen,0.0,0.0,0.0
,,,,,,,,,,,,,,0.0,1.0,0.0
Drophy,160.0,newspiderscafe,cafewaitress,grandline,Alive,156.0,,S,Mole-Mole Fruit,Zoan,,14000000.0,drophy,0.0,0.0,0.0
Drug Peclo,860.0,underworld,undertaker,,Alive,,,,,,,,drugpeclo,0.0,0.0,0.0
Ducky Bree,552.0,spadepirates,pirate,,Alive,,,,,,,,duckybree,0.0,0.0,0.0
Du Feld,860.0,lufeldconglomerate,emperoroftheunderworld,,Unknown,,,,,,,,dufeld,0.0,0.0,0.0
Duke Genghis Baan,963.0,mokomodukedom,rulerofmokomodukedom,,Unknown,,,,,,zou,,dukegenghisbaan,0.0,0.0,0.0
Dumas Fayes,587.0,goakingdom,noble,,Alive,,,,,,goakingdom;dawnisland,,dumasfayes,0.0,0.0,0.0
Dumas Regal IX,587.0,goakingdom,noble,,Alive,,,,,,,,dumasregalix,0.0,0.0,0.0
Duval,491.0,rosyliferiders,leaderoftherosyliferiders,grandline,Alive,470.0,,S,,,,,duval,0.0,0.0,0.0
Earth Boss,326.0,ukkarihot-springisland,digger,,Alive,,,,,,ukkarihot-springisland,,earthboss,0.0,0.0,0.0
Eddy,223.0,bellamypirates,navigator,,Unknown,,,,,,,,eddy,0.0,0.0,0.0
Edison,1065.0,marines,,grandline,Alive,100.0,,S,,,egghead,,edison,0.0,0.0,0.0
Edward Newgate,159.0,whitebeardpirates,piratecaptain,grandline,Deceased,666.0,,F,Tremor-Tremor Fruit,Paramecia,sphinx,5046000000.0,edwardnewgate,1.0,1.0,1.0
Edward Weevil,802.0,sevenwarlordsofthesea,pirate,grandline,Alive,680.0,,S,,,,480000000.0,edwardweevil,1.0,1.0,0.0
Eggplant Soldier,849.0,bigmompirates,guard,,Alive,,,,,,wholecakeisland,,eggplantsoldier,0.0,0.0,0.0
Ehgana,483.0,,,,Alive,,,,,,,,ehgana,0.0,0.0,0.0
Eiyess Emmar,,marines,okakiartisan,,Alive,,,,,,southblue,,eiyessemmar,0.0,0.0,0.0
Elio,967.0,rogerpirates,pirate,,Unknown,,,,,,,,elio,0.0,0.0,0.0
Elizabero II,704.0,prodencekingdom,king,grandline,Alive,436.0,,F,,,,,elizaberoii,0.0,0.0,0.0
Elmy,551.0,subordinateofthewhitebeardpirates,pirate,,Alive,,,,,,,,elmy,0.0,0.0,0.0
EMET,1065.0,,,,Unknown,,,,,,egghead,,emet,0.0,0.0,0.0
Emma,1071.0,kidpirates,pirate,,Unknown,,,,,,,,emma,0.0,0.0,0.0
Emporio Ivankov,537.0,revolutionaryarmy,garmycommanderoftherevolutionaryarmy,grandline,Alive,449.0,,XF,Horm-Horm Fruit,Paramecia,momoiroislandmarygeoise,100000000.0,emporioivankov,0.0,0.0,0.0
,,,,,,,,,,,,,,1.0,0.0,0.0
Eneru,254.0,god'sarmy,godofskypiea,skyislands,Alive,266.0,,S,Rumble-Rumble Fruit,Logia,moonupperyard,,eneru,0.0,0.0,0.0
Epoida,553.0,whitebeardpirates,pirate,,Alive,,,,,,,,epoida,0.0,0.0,0.0
Epony,841.0,germakingdom,nurse,,Alive,,,,,,,,epony,0.0,0.0,0.0
Eric,167.0,sand-sandclan,rebel,,Alive,,,,,,arabastakingdom,,eric,0.0,0.0,0.0
Esta,717.0,,,,Alive,,,,,,,,esta,0.0,0.0,0.0
,,,,,,,,,,,,,,1.0,1.0,0.0
Eureka,151.0,tulippirates,piratecaptain,,Alive,,,,,,,,eureka,0.0,0.0,0.0
Eustass Kid,498.0,kidpiratesninja-pirate-mink-samuraialliance,piratecaptain,southblue,Unknown,205.0,,F,Magnet-Magnet Fruit,Paramecia,,315000000.0,eustasskid,1.0,1.0,1.0
"Eyelashes ,Eyelash ,Lashes ,Matsuge",162.0,superspot-billedducktroops,royaltransport,grandline,Alive,190.0,,F,,,alubarna,,"eyelashes,eyelash,lashes,matsuge",0.0,0.0,0.0
Eyri,866.0,,,,Unknown,,,,,,elbaph,,eyri,0.0,0.0,0.0
Falafra,167.0,arabasta,rebel,,Alive,,,,,,,,falafra,0.0,0.0,0.0
Farul,722.0,beautifulpiratesstrawhatgrandfleet,cavendish'ssteed,,Alive,,,,,,,,farul,0.0,0.0,0.0
Faust,508.0,hawkinspirates,pirate,northblue,Alive,,,,,,,,faust,0.0,0.0,0.0
Fen Bock,668.0,caesarclown,,,Alive,,,,,,,,fenbock,0.0,0.0,0.0
Figarland Shamrock,907.0,god'sknights,commanderofgod'sknights,,Alive,,,,,,marygeoise,,figarlandshamrock,0.0,0.0,0.0
Finamore,552.0,spadepirates,pirate,,Alive,,,,,,,,finamore,0.0,0.0,0.0
Firstaid,334.0,,doctor,,Alive,,,,,,water7,,firstaid,0.0,0.0,0.0
Fisher Tiger,521.0,sunpirates,adventurer,grandline,Deceased,520.0,,S (RH-),,,fish-mandistrict,230000000.0,fishertiger,0.0,0.0,0.0
Fiyonce,608.0,mermaidcafé,dancer,grandline,Alive,,,,,,mermaidcove,,fiyonce,0.0,0.0,0.0
Flair,,gérard,waitress,,Deceased,,,,,,,,flair,0.0,0.0,0.0
Flapper,711.0,tontattakingdom,pirate,,Alive,,,,,,,,flapper,0.0,0.0,0.0
Forest Boss,333.0,ukkarihot-springisland,bossoftheforest,,Alive,,,,,,ukkarihot-springisland,,forestboss,0.0,0.0,0.0
Fossa,553.0,whitebeardpirates,15thdivisioncommander,northblue,Alive,,,,,,,,fossa,0.0,0.0,0.0
Fourtricks,994.0,beastspirates,shinuchi,,Alive,,,,Chicken Smile,Artificial Zoan,,,fourtricks,0.0,0.0,0.0
Foxy,305.0,foxypirates,piratecaptain,southblue,Alive,180.0,,S,Slow-Slow Fruit,Paramecia,,24000000.0,foxy,0.0,0.0,0.0
Francois,537.0,newkamaland,,,Alive,,,,,,,,francois,0.0,0.0,0.0
Franky,329.0,strawhatpirates,shipwright,southblue,Alive,225.0,,XF,,,water7,44000000.0,franky,0.0,0.0,0.0
Fuga,991.0,beastspirates,,punkhazard,Alive,37.0,,S,Horse Smile,Artificial Zoan,onigashima,,fuga,0.0,0.0,0.0
Fugar,1079.0,socialclub,piratecaptain,,Alive,,,,,,,,fugar,0.0,0.0,0.0
Fugetsu Omusubi,1024.0,,samurai,grandline,Deceased,270.0,,S,,,wanocountry,,fugetsuomusubi,0.0,0.0,0.0
Fujin,931.0,beastspirates,ninja,wanocountry,Alive,200.0,,X,,,flowercapital;wanocountry,,fujin,0.0,0.0,0.0
Fukaboshi,609.0,neptunefamily,princeoftheryugukingdom,grandline,Alive,604.0,,S,,,ryugupalace,,fukaboshi,0.0,0.0,0.0
Fukumi,,,,,Deceased,,,,,,,,fukumi,0.0,0.0,0.0
Fukurokuju,931.0,kurozumifamily,ninja,wanocountry,Alive,221.0,,X,,,flowercapital;wanocountry,,fukurokuju,0.0,0.0,0.0
,,,,,,,,,,,,,,1.0,1.0,0.0
Fukurô,375.0,cp0,cipherpolagent,grandline,Alive,331.0,,S,,,,,fukurô,0.0,0.0,0.0
Fullbody,43.0,marines,marinelieutetcommander,northblue,Alive,184.0,,F,,,,,fullbody,0.0,0.0,0.0
Funkfreed,365.0,cp0;cp9,spandam'ssword,,Alive,,,,Elephant-Elephant Fruit Eleph-Eleph Fruit,Zoan,,,funkfreed,0.0,0.0,0.0
Fuza,241.0,god'sarmy,battlepet,,Alive,,,,,,,,fuza,0.0,0.0,0.0
Gabu,580.0,redhairpirates,pirate,,Alive,,,,,,,,gabu,0.0,0.0,0.0
Gaburu,702.0,reformationarmy,revolutionistcommander,,Deceased,,,,,,,,gaburu,0.0,0.0,0.0
Gack,598.0,fakestrawhatcrew,pirate,eastblue,Alive,208.0,,XF,,,,,gack,0.0,0.0,0.0
Gaimon,22.0,,guardianoftheislandofrareanimalspirate,eastblue,Alive,130.0,,X,,,islandofrareanimals,,gaimon,0.0,0.0,0.0
Gal,680.0,marines,marineofficer,,Alive,,,,,,g-5,,gal,0.0,0.0,0.0
Galaxy,437.0,automata,general,,Alive,,,,,,,,galaxy,0.0,0.0,0.0
Gambia,705.0,bartoclub,staffofficer,,Unknown,,,,,,,67000000.0,gambia,0.0,0.0,0.0
Gambo,905.0,revolutionaryarmy,southarmydeputycommander,,Alive,,,,,,baltigo,,gambo,0.0,0.0,0.0
Gancho,711.0,tontattakingdom,king,,Alive,,,,,,,,gancho,0.0,0.0,0.0
Ganfor,237.0,skypiea,godofskypiea,grandline,Alive,180.0,,X,,,,,ganfor,0.0,0.0,0.0
Ganryu,552.0,spadepirates,pirate,,Alive,,,,,,,,ganryu,0.0,0.0,0.0
Ganryu,966.0,rogerpirates,pirate,,Unknown,,,,,,,,ganryu,0.0,0.0,0.0
Gatherine,379.0,worldgovernment,waitress,,Unknown,,,,,,,,gatherine,0.0,0.0,0.0
Gazelle-Man Gazelleman,914.0,beastspirates,gifter,,Alive,,,,Gazelle Smile,Artificial Zoan,,,gazelle-mangazelleman,0.0,0.0,0.0
Gecko Moria,449.0,thrillerbarkpirates,piratecaptain,westblue,Alive,692.0,,X,Shadow-Shadow Fruit,Paramecia,floriantriangle,320000000.0,geckomoria,0.0,0.0,0.0
Gedatsu,241.0,ukkarihot-springisland,priestofenel;headclerkofhotspringsresort,skyislands,Alive,220.0,,S,,,ukkarihot-springislandskypieabirka,,gedatsu,1.0,0.0,0.0
Gem,110.0,newspiderscafe,cafeemployee,southblue,Alive,197.0,,X,Bomb-Bomb Fruit,Paramecia,,10000000.0,gem,0.0,0.0,0.0
GenbouGenbo,249.0,shandia,shandiawarrior,skyislands,Alive,193.0,,S,,,,,genbougenbo,0.0,0.0,0.0
Genista,517.0,kuja,lady'smaid,calmbelt,Alive,,,,,,amazonlily,,genista,0.0,0.0,0.0
Genzo,71.0,cocoyasivillage,sheriffofcocoyasivillage,eastblue,Alive,173.0,,F,,,cocoyasivillage,,genzo,0.0,0.0,0.0
George,353.0,worldgovernment,judge,,Alive,,,,,,,,george,0.0,0.0,0.0
George Mach,313.0,foxypirates,pirate,,Alive,,,,,,,,georgemach,0.0,0.0,0.0
