name,apparition,affiliations,occupations,origin,status,age,birthday,height,weight,bloodtype,fruit.name,devilfruit.type,residence,bounty
Demalo BlackDemaro Black(Funimation(Former)‡),Chapter 598;Episode 517[1],Fake Straw Hat Crew[1],Pirate Captain[1],East Blue[2],Alive,36[2],May 5th[3],"245 cm (8'0"")[2]",,S[2],,,,"26,000,000[4]"
,Chapter 966(cover)[1],,Hairstylist,,Alive,,,,,,,,Dressrosa,
Den,Chapter 616;[1]Episode 534[2],,Shipwright;Sea ForestResearcher;Coating Mechanic,Grand Line(Ryugu Kingdom;Fish-Man Island)[3],Alive,62[3],October 10th[4],"435 cm (14'3"")[3]",,X[3],,,Sea Forest,
Denjiro,Chapter 919;Episode 909[1],Kouzuki Family;Nine Red Scabbards;[2]Kyoshiro Family;[3]Kurozumi Family(undercover)[1];Ninja-Pirate-Mink-Samurai Alliance(disbanded),Daimyo;[4]Samurai;[3]Retainer of the Kouzuki Family (former);Yakuza Boss(former); Money Changer (former);[1]Thief (former)[2],Grand Line(Wano Country),Alive,47[6],October 26th[6],"306 cm (10'0½"")[5]",,XF[6],,,Wano Country (Flower Capital)[1],
Devil Dias (Viz); Devil (Funimation),Chapter 497;Episode 391[1],Acumate Pirates[1],Pirate;Captain(former);Slave[1],,Unknown,,September 18th[2],,,,,,,"60,000,000"
Diamante,Chapter 700;Episode 629[1],Donquixote Pirates[1],PirateExecutive Officer; Colosseum Proprietor (former);Swordsman,North Blue[2],Alive,45[3],May 29th[4],"525 cm (17'3"")[2]",,S[2],Ripple-Ripple Fruit,Paramecia,Downs(former)Spider Miles(former)Dressrosa(former),"99,000,000[2]"
Didit,Chapter 585;Episode 496[1],Goa Kingdom[1],Noble[1],,Alive,,,,,,,,,
Diesel,Chapter 827;Episode 786[1],Big Mom Pirates[1],Pirate[1],,Alive,,,,,,,,Totto Land,
"Diez BarrelsX. Barrels (WT100,OPCG)",Chapter 765[1]Episode 704,Barrels Pirates;[1]Marines(former)[1],Pirate;Captain;[2]MarineOfficer(former)[1],,Deceased,,,,,,,,Minion Island,
Earth Boss,Chapter 326(cover)[1],Ukkari Hot-Spring Island;Gedatsu[1],Digger,,Alive,,August 4th[2],,,,,,Ukkari Hot-Spring Island,
Disc J,Chapter 1040;[1]Episode 1079[2],Kid Pirates[3],Pirate[3],,Unknown,,,,,,,,,
Disco,Chapter 500;Episode 394[1],Donquixote Doflamingo(former);[2]Human Auctioning House[1](former)[3],Owner ofHuman Auctioning House[1](former)[3],Grand Line[4],Alive,,June 12th[6],,,,,,Sabaody Archipelago,
Dive,Chapter 1024;[1]Episode 1080[2],Kid Pirates[1],Pirate[1],,Unknown,,,,,,,,,
Dobby Ibadonbo[1],Chapter 531;Episode 432[2],,Prisoner ofImpel Down[2],,Unknown,,,,,,,,,
Doberman,Chapter 420;Episode 302[1],Marines,Vice Admiral,,Alive,,October 8th[2],,,,,,,"At least ★★★★★(At least500,000,000)[3]"
Dobon,Chapter 926;Episode 919[1],Beasts Pirates[1],Shinuchi; Vice Warden of the Prisoner Mine[1],,Alive,,,,,,HippopotamusSMILE,Artificial Zoan,,
Doc Q,Chapter 223;Episode 146[1],Blackbeard Pirates[2],Pirate;Doctor;[2]Titanic Captain(Captain of the Ninth Ship)[3],North Blue[3],Alive,26 (debut)28 (after timeskip)[3],October 18th[5],342 cm (11’3”)[3],,S[3],Sick-Sick Fruit,Paramecia,Hachinosu[4],"At least72,000,000[3]"
Dogura (VIZ);Dogra (Funimation),Chapter 582;Episode 493,Dadan Family,Bandit,,Alive,,December 19th[1],,,,,,Mt. Colubo,
Dogya,"Chapter 552,Episode 461[1]",Spade Pirates[1],Pirate[1],,Alive,,,,,,,,,
Howja Geddinthere II,Chapter 529;Episode 430[1],,Prisoner ofImpel Down[1],,Unknown,,,,,,,,,
Doll,Chapter 1061;Episode 1090[1],Marines;G-14[1],Vice Admiral[1],,Alive,,,,,,,,G-14,"At least ★★★★★(500,000,000)[2]"
Doma,Chapter 551;Episode 460[1],Subordinate of theWhitebeard Pirates[1],Pirate;Captain[1],,Alive,,February 1st[2],,,,,,,
Domino,Chapter 526;Episode 422[1],Impel Down,Head Jailer;[2]Vice Head Jailer[1](former),Grand Line[4],Alive,,October 30th[3],,,,,,,
"Domo-kun, Nnke-kun",God's Gift for the Future;Chapter 9,,,,Alive,,January 30th (Domo-kun)[1],,,,,,,
,Chapter 926;Episode 919[1],Beasts Pirates[1],Waiter;Prisoner MineGuard[1],,Alive,,,,,,,,,
Donovan,Chapter 318[1],Foxy Pirates[1],Pirate;Shipwright[1],,Alive,,,,,,,,,
Donkino,Chapter 966[1];Episode 959[2],Roger Pirates,Pirate,,Unknown,,,,,,,,,
Don Quixote Doflamingo (VIZ);Donquixote Doflamingo (Funimation subs),Chapter 233;Episode 151[1],Donquixote Pirates;Impel Down;Underworld;[2]World Government(secret);[3]Seven Warlords of the Sea(former);[1]Dressrosa(former)[4],Pirate Captain; Prisoner of the Great Prison; UnderworldBroker;[2]Kingof Dressrosa (former);[5]World Noble(former)[6],Red Line(Mary Geoise)[7],Alive,39 (debut)[10]41 (after timeskip)[11][12],October 23rd[11],"305 cm (10') (debut, after timeskip)[10][11]",,X[7],String-String Fruit,Paramecia,Mary Geoise (former);Downs(former);Spider Miles(former);Dressrosa (former),"340,000,000[13]"
Don Quixote Homing,Chapter 760;Episode 699[1],World Government(Former)[2],World Noble(Former)[2],,Deceased,,,,,,,,Mary Geoise(Former)[2],
"Don Quixote Myosgard (VIZ, Funimation dub (Ep 545), Funimation)Don Quixote Mjosgard (Funimation, former)Donquixote Myosgard (Crunchyroll)",Chapter 625;Episode 545[1],World Government(Donquixote Family),World Noble,,Deceased,"25 (debut)35 (after timeskip, at death)[2]",December 13th[3],"211 cm (6'11"")[2]",,X[2],,,Mary Geoise,
Don Quixote Rocinante (Viz); Donquixote Rosinante (Funimation subs); Don Quixote Rosinante (Funimation dub),Chapter 761;Episode 686,Marines;[1]Donquixote Pirates[2](undercover);[3]World Government(former),Marine Commander;[1]PirateElite Officer[2](undercover);[3]World Noble(former)[4],Red Line(Mary Geoise)[7],Deceased,,July 15th[5],"293 cm (9'7½"")[6]",,S[7],Calm-Calm Fruit,Paramecia,Mary Geoise(former)Spider Miles(former),
,Chapter 625;Episode 545[1],World Government(Donquixote Family)[2],World Noble[1],,Alive,,,,,,,,Mary Geoise[1],
Dolan,Chapter 658;Episode 583[1],,,,Alive,,,,,,,,,
Doringo,Chapter 0;Episode 0[1],Roger Pirates,Pirate,,Unknown,,,,,,,,,
Dorry,Chapter 116;Episode 71[1],Giant Warrior Pirates[1],Pirate Captain[1],Grand Line(Elbaph)[2],Alive,158 (debut)[3]160 (after timeskip)[2],October 2nd[4],"2260 cm (74'2"")[5]",,F[2],,,ElbaphLittle Garden(former),"1,800,000,000[6]100,000,000[7]"
Dosun,Chapter 611;Episode 530[1],New Fish-Man Pirates[2],Pirate;Pirate Officer[2],Grand Line(Ryugu Kingdom;Fish-Man Island)[4],Alive,30[4],October 9th[3],"418 cm (13'8"")[4]",,S[4],,,Fish-Man District(former),
Dotaku,Chapter 926;Episode 918[1],Kouzuki Family[1],Samurai[1],,Alive,,,,,,,,Wano Country(Flower Capital)[1],
,Chapter 980;Episode 986[1],Beasts Pirates[1],Shinuchi[2],,Alive,,,,,,OwlSMILE,Artificial Zoan,,
Dracule MihawkDiego Mihawk (Odex),Chapter 49;Episode 23[1],Cross Guild;[2]Seven Warlords of the Sea[3](former)[4],Pirate; Cross Guild ChiefOfficer;[2]Warlord of the Sea[3](former)[4],,Alive,41 (debut)[10]43 (after timeskip)[11],March 9th[11],"198 cm (6'6"") (debut, after timeskip)[10][11]",,S[12],,,Kuraigana Island[5](former);Karai Bari Island[6],"3,590,000,000[13]"
Dragon Number Thirteen,Chapter 655;Episode 579[1],,Guard,,Deceased,,June 3rd[2],,,,,,Punk Hazard,
,Chapter 675;Episode 601[1],Caesar Clown;Vegapunk(former),,,Unknown,,,,,,,,Punk Hazard,
Dorrow,One Piece novel A[1],Marines[1],Vice Admiral;Lieutenant Commander(former)[1],,Alive,,,,,,,,,"At least ★★★★★(At least500,000,000)[2]"
"Gack (VIZ);Drip (Funimation,WT100)",Chapter 598;Episode 518[1],Fake Straw Hat Crew[1],Pirate[1],East Blue[2],Alive,24[2],October 22nd[2],"208 cm (6'10"")[2]",,XF[2],,,,
Drophy,Chapter 160;Episode 103[1],New Spiders Cafe;Baroque Works[1](former),Cafe Waitress;Officer Agent[1](former),Grand Line[2],Alive,49 (debut)51 (after timeskip)[2],December 25th[2],"156 cm (5'1"")[2]",,S[2],"Mole-Mole Fruit (Funimation);Diggy-Diggy Fruit (Viz, 4Kids)",Zoan,,"14,000,000[2]"
Drug Peclo,Chapter 860;Episode 828[1],Underworld[1],Undertaker;[1]Emperor of the Underworld[2],,Alive,,September 29th[3],,,,,,,
Ducky Bree,Chapter 552;Episode 461[1],Spade Pirates[1],Pirate[1],,Alive,,,,,,,,,
Duval,Chapter 491;Episode 386[1],Rosy Life Riders[2],Leader of the Rosy Life Riders[2](formerly the Flying Fish Riders); Slave trader[2](former),Grand Line[3],Alive,23 (debut)25 (after timeskip)[3],August 11th[4],"470 cm (15'5"")[3]",,S[3],,,,
Eddy,Chapter 223;Episode 146[1],Bellamy Pirates[1],Navigator[1],,Unknown,,,,,,,,,
Edison,Chapter 1065;Episode 1095[1],Marines(SSG),,Grand Line(Egghead),Alive,2 (biologically 18)[2],March 22nd[2],"100cm (3'3"")[2]",,S[2],,,Egghead,
"Edward Newgate (VIZ, Funimation);[1]Ward Newgate (4Kids)[2]",Chapter 159;Episode 95(silhouette);[3]Chapter 234;Episode 151(full)[1],Whitebeard Pirates;[1]Rocks Pirates(former);[4]Four Emperors(former)[5],Pirate Captain;[1]Emperor(former)[5],Grand Line(Sphinx)[10],Deceased,,April 6th[9],"666 cm (21'10"")[10]",,F[10],Tremor-Tremor Fruit,Paramecia,Sphinx(former)[6],"5,046,000,000[11]"
Edward Weevil,Chapter 802;Episode 751[1],Seven Warlords of the Sea[2](former)[3],Pirate,Grand Line[5],Alive,35[5],December 10th[4],"680 cm (22'4"")[5]",,S[5],,,,"480,000,000[2]"
Eyri,Chapter 866;Episode 836(mentioned)[1],,,,Unknown,,,,,,,,Elbaph[1],
Ehgana[1],Chapter 483;Episode 375[2],,,,Alive,,,,,,,,,
Eggplant Soldier,Chapter 849[1];Episode 802[2],Big Mom Pirates,Guard; Soldier,,Alive,,,,,,,,Whole Cake Island,
,Chapter 711;Episode 641[1],Tontatta Tribe;Tonta Corps[1]Straw Hat Grand Fleet,,,Alive,,,,,,,,Green Bit,
Elizabero II; Elizabello II,Chapter 704;[1]Episode 632[2],Prodence Kingdom[1],King[1],Grand Line(Prodence Kingdom)[3],Alive,57[3],February 2nd[3],"436 cm (14'3½"")[3]",,F[3],,,,
Elmy,Chapter 551;Episode 460[1],Subordinate of theWhitebeard Pirates[1],Pirate;Captain[1],,Alive,,June 30th[2],,,,,,,
EMET,Chapter 1065;Episode 1095[1],,,,Unknown,Roughly 900[2],,,,,,,Egghead,
Emma,Chapter 1071;Episode 1112[1],Kid Pirates[2],Pirate[2],,Unknown,,,,,,,,,
Emporio Ivankov,Chapter 537;Episode 438[1],Revolutionary Army;Freedom Fighters(former);[2]Kamabakka Kingdom;Newkama Land(former),G Army Commander of the Revolutionary Army;Queen;Slave(former); Prisoner of the Great Prison (former),Grand Line(Kamabakka Kingdom)[3],Alive,51 (debut)53 (after timeskip)[3],January 8th[4],"449 cm (14'8"")[3]",,XF[3],Horm-Horm Fruit (VIZ and Funimation);Hor-Hor Fruit (One Piece Official YouTube Channel)[6],Paramecia,Momoiro IslandMary Geoise(former),"At least100,000,000[5]"
"Eneru;Enel(BStation,WT100,OPCG)",Chapter 254;Episode 167[1],God's Army[1](former);Automata,GodofSkypiea[1](former),Sky Islands(Birka)[2],Alive,37 (debut)39 (after timeskip)[2],May 6th[4],"266 cm (8'9"")[2]",,S[2],Rumble-Rumble Fruit,Logia,MoonUpper Yard(former);Birka(former),
Genista (VIZ); Enishida (Funimation),Chapter 517;Episode 411[1],Kuja[1],Lady's maid[2],Calm Belt(Amazon Lily)[3],Alive,,February 24th[4],,,,,,Amazon Lily,
Epoida,Chapter 553;Episode 467[1],Whitebeard Pirates[1],Pirate;Captain[1],,Alive,,June 4th[2],,,,,,,
Epony,"Chapter 841,Episode 804[1]",Germa Kingdom[1],Nurse[1],,Alive,,August 2nd[2],,,,,,,
Eric[1],Chapter 167;Episode 105[2],Sand-Sand Clan(former);Rebel Army(former)[2],Rebel (former)[2],,Alive,,,,,,,,Arabasta Kingdom,
Elio,Chapter 967;[1]Episode 959[2],Roger Pirates,Pirate,,Unknown,,,,,,,,,
Esta,Chapter 717;Episode 647[1],,,,Alive,,,,,,,,,
St. Ethanbaron V. Nusjuro,Chapter 233;Episode 151[1],Five Elders;[1]World Nobles[2],"Co-Head of theWorld Government(Public);[1]Warrior God of Finance(財務武神,Zaimu Bushin?, English versions: ""Godhead of Finance"")[3]",,Alive,,,,,,,,Mary Geoise[1],
,Chapter 960(cover)[1],,,,Alive,,,,,,,,Dressrosa,
Eustass Kid,Chapter 498;Episode 392[1],Kid Pirates[1]Ninja-Pirate-Mink-Samurai Alliance,Pirate Captain[1],South Blue(Kutsukku Island)[1],Unknown,21 (debut)[2]23 (after timeskip)[3],January 10th[4],"205 cm (6'9"") (debut, after timeskip)[2]",,F[3],Magnet-Magnet Fruit,Paramecia,,"3,000,000,000[5]470,000,000[6]315,000,000[1]"
Falafra (Viz);Faracla (FUNimation),Chapter 167;Episode 105[1],Arabasta;Rebel Army(former),Rebel (former),,Alive,,,,,,,,,
Farul,Chapter 722;[1]Episode 634[2],Beautiful Pirates[1]Straw Hat Grand Fleet,Cavendish's steed,,Alive,,August 29th[3],,,,,,,
Faust,Chapter 508;[1]Episode 490[2],Hawkins Pirates[1],Pirate;[1]Magician[4],North Blue[3],Alive,,December 13th[3],,,,,,,
Fen Bock,Chapter 668;Episode 593[1],Caesar Clown,,,Alive,,,,,,,,,
Saint Figarland Garling,Chapter 1086;Episode 1120[1],Five Elders;[2]God's Knights;World Nobles(Figarland Family)[1],"Co-Head of theWorld Government(Public);[1]Warrior God of Science and Defense(科学防衛武神,Kagaku Bōei Bushin?, VIZ: ""Godhead of Science & Defense"");[2]Supreme Commander of God's Knights; World Noble[1]",,Alive,,,,,,,,Mary Geoise,
Figarland Shamrock,Chapter 907;Episode 887[1],God's Knights;[2]World Nobles(Figarland Family),Commander of God's Knights[2],,Alive,39[3],March 9th[3],,,,,,Mary Geoise,
Fiyonce[1],Chapter 608;Episode 527[2],Mermaid Café,Dancer,Grand Line(Ryugu Kingdom;Fish-Man Island),Alive,,,,,,,,Mermaid Cove(Coral Hill),
Finamore,Chapter 552;Episode 461[1],Spade Pirates[1],Pirate[1],,Alive,,,,,,,,,
Dr. Fishbonen,Chapter 594;Episode 511[1],Marines,Doctor,,Alive,,,,,,,,,
Fisher Tiger,Chapter 521;Episode 415[1],Sun Pirates;[2]Fish-Man District(former)[3],Adventurer;[1]Pirate;Captain;[2]De-facto Leader ofFish-Man District(former);[3]Slave(former)[4],Grand Line(Ryugu Kingdom;Fish-Man Island)[5],Deceased,,November 5th[7],"520 cm (17'1"")[5]",,S (RH-)[5],,,Fish-Man District(former);Mary Geoise(former),"230,000,000[8]"
Flapper,Chapter 711;Episode 641[1],Tontatta Kingdom;[1]Tonta Corps;Straw Hat Grand Fleet,Pirate[2],,Alive,,July 28th[3],,,,,,,
Flair,Monsters;ONA 1[1],Gérard,Waitress,,Deceased,,,,,,,,,
,Chapter 329;Episode 233[1],Franky Family,Dismantler;Bounty Hunter,,Alive,,,,,,,,Water 7,
Forest Boss,Chapter 333(cover)[1],Ukkari Hot-Spring Island;Gedatsu,Boss of the Forest,,Alive,,April 10th[2],,,,,,Ukkari Hot-Spring Island,
,Chapter 566[1],Whitebeard Pirates[1],Pirate;Captain[1],,Alive,,,,,,,,,
Fossa,Chapter 553;Episode 461[1],Whitebeard Pirates[1],15th DivisionCommander;Pirate[1],North Blue[3],Alive,,April 15th[2],,,,,,,
Fourtricks,Chapter 994;[1]Episode 982[2],Beasts Pirates,Shinuchi,,Alive,,,,,,ChickenSMILE,Artificial Zoan,,
Foxy,Chapter 305;Episode 207[1],Foxy Pirates[1],Pirate Captain[1],South Blue[2],Alive,36 (debut)38 (after timeskip)[3],April 4th[4],"180 cm (5'11"")[2]",,S[2],Slow-Slow Fruit,Paramecia,,"24,000,000[1]"
Francois,Chapter 537;Episode 438[1],Newkama Land(former)[1],,,Alive,,,,,,,,,
Franky;Frankie (originally),Chapter 329;Episode 233[1],Straw Hat Pirates;Straw Hat Grand Fleet;Franky Family(former);Tom's Workers(former);Ninja-Pirate-Mink-Samurai Alliance(disbanded),Shipwright; SeniorOfficer;[2]Dismantler; Underworld boss (former);[3]Bounty Hunter(former),South Blue[4],Alive,34 (debut)[11][12]36 (after timeskip)[13][14],March 9th[15],"225 cm (7'5"") (debut)[4]240 cm (7'10"") (after timeskip)[13][14]",,XF[16],,,"Water 7(former);Karakuri Island(former, temporary)","394,000,000[2]94,000,000[7]44,000,000[8]"
Fuga,Chapter 991;[1]Episode 1055[2],Beasts Pirates(Numbers)[1],,Punk Hazard[3],Alive,,February 5th[3],"37.15 m (121'11"")[3]",,S[3],HorseSMILE,Artificial Zoan,Onigashima,
Fugar (VIZ);Fuga (Crunchyroll),Chapter 1079;Episode 1112[1],Social Club;Red Hair Pirates,Pirate Captain[1],,Alive,,,,,,,,,
,SBS Volume 109(mentioned)[1],,Swordsmith[1],,Unknown,,,,,,,,Wano Country,
Fugetsu Omusubi,Chapter 1024;Episode 1048[1],,Samurai; Daimyo ofKibi[2],Grand Line(Wano Country)[3],Deceased,,June 30th[3],"270 cm (8'10"")[3]",,S[3],,,Wano Country(Kibi)[3],
Fujin,Chapter 931;Episode 925[1],Beasts Pirates;[2]Orochi Oniwabanshu(former);Kurozumi Family(former)[1],Ninja;[1]Pirate,Wano Country[3],Alive,45[3],February 4th[3],"200 cm (6'7"")[4]",,X[3],,,"Flower Capital, Wano Country",
Fukaboshi,Chapter 609;Episode 528[1],Neptune Family[1],Princeof theRyugu Kingdom[1],Grand Line(Ryugu Kingdom)[2],Alive,24[2],February 4th[3],604 cm (19’10”)[2],,S[2],,,Ryugu Palace[1],
Fukumi,SBS Volume 103(Mentioned)[1],,,,Deceased,,,,,,,,,
Fukurokuju,Chapter 931;Episode 925[1],Kurozumi Family;Beasts Pirates(former);[2]Orochi Oniwabanshu(former);[1]Kouzuki Family(former)[3],Ninja; Captain of the Orochi Oniwabanshu (former)[1],Wano Country[4],Alive,61[4],March 29th[4],"221 cm (7'3"")[5]",,X[4],,,"Flower Capital,Wano Country[1]",
Fukurô (Viz); Fukurou (FUNimation) (former),Chapter 375;Episode 264[1],CP0;[2]CP9[3](former),Cipher PolAgent[3],Grand Line[4],Alive,29 (debut)[6]31 (after timeskip)[4],June 29th[7],"331 cm (10'10¼"")[4]",,S[4],,,,
Fullbody;Full Body (Live-Action),Chapter 43;Episode 20[1],Marines[1],"MarineLieutenant Commander;[2]MarineSeaman Recruit(promoted)[3], MarineLieutenant[1](demoted)[4]",North Blue[6],Alive,26 (debut)28 (after timeskip)[6],September 7th[6],"184 cm (6'0"")[6]",,F[6],,,,"(At least1,000,000)[7]"
"Funkfreed (FUNimation, Viz manga);Funk Freed (Unlimited Adventure)",Chapter 365;Episode 254[1],"CP0,CP9(former)",Spandam'ssword;[2]Pet,,Alive,,April 28th (Elephant Day)[3],,,,"Elephant-Elephant Fruit (Funimation dub, Viz)Eleph-Eleph Fruit (Viz)",Zoan,,
,Chapter 960(cover)[1],,,,Alive,,,,,,,,Dressrosa,
,Chapter 906;Episode 884[1],Levely[1],King[1],,Alive,,,,,,,,Nagagutsu Kingdom[2],
Fuza;Fusa (Grand Adventure)[1],Chapter 241;Episode 155[2],God's Army[2],Battle Pet,,Alive,,February 3rd[3],,,,,,,
Gabu;Gab (OPCG),Chapter 580;Episode 489[1],Red Hair Pirates[1],Pirate;Senior Officer[1],,Alive,,,,,,,,,
"Gaburu;Gobble(VIZ, former);Gabull(VIZ, former)",Chapter 702(cover; image);Episode 921(image)[1],"Reformation Army(維新軍,Ishin-gun?)[2]",Revolutionist commander,,Deceased,,,,,,,,,
Berry,,,,,,,,,,,,,,
Gaimon,Chapter 22;Episode 18[1],,Guardian of the Island of Rare Animals[2]Pirate(former)[3],East Blue[4],Alive,43 (debut)45 (after timeskip)[4],August 5th[5],"130 cm (4'3"")[4]",,X[4],,,Island of Rare Animals,
Gal,Chapter 680;Episode 606[1],Marines;G-5[1],Marine Officer,,Alive,,,,,,,,G-5,
Galaxy,Chapter 437(cover)[1],Automata,General,,Alive,,,,,,,,,
Mr. 3[1]/Galdino[2],Chapter 117;Episode 70[1],Cross Guild;[3]Buggy's Delivery;Buggy and Alvida Alliance;[4]Baroque Works[5](formerly),Pirate;Officer Agent[5](former); Prisoner of the Great Prison (former),South Blue[6],Alive,35 (debut)37 (after timeskip)[6],March 3rd[7],"179 cm (5'10"")[6]",,F[6],Wax-Wax Fruit,Paramecia,Karai Bari Island,"24,000,000[6]"
"Jolly, Gary (VIZ Media);Gally (Funimation)",Episode 48[1];Romance Dawn Story;Chapter 902;Episode 877[2][3],Gally Pirates[2],Pirate Captain[2],,Alive,,,,,,,,,"3,450,000 (Loguetown Arc)[5]5,000,000 (Romance Dawn Story)[4]"
Toad Boingnosuke,"Chapter 909,Episode 892[1]",,,,Alive,,,,,,,,Wano Country[1],
Gambia,Chapter 705;Episode 634[1],Barto Club;Straw Hat Grand Fleet,StaffOfficer[1],,Unknown,,February 18th[2],,,,,,,"67,000,000[1]"
Gambo,Chapter 905;Episode 883[1],Revolutionary Army[1],South Army Deputy Commander,,Alive,,,,,,,,Baltigo(former);Momoiro Island,
Ganfor (VIZ; Funimation simulcast);Gan Fall (Funimation);Gunfall (4Kids),Chapter 237;Episode 153[1],Skypiea,Godof Skypiea;Mercenary(former)[2],Grand Line(Skypiea)[4],Alive,66 (debut);68 (after timeskip)[4],December 22nd[3],"180 cm (5'11"")[4]",,X[4],,,,
Gancho,Chapter 711;Episode 641[1],Tontatta Kingdom[1],King[1],,Alive,,,,,,,,,
,Chapter 951;Episode 951[1],Beasts Pirates;[2]Mimawarigumi(former)[1],Samurai;Pirate,,Alive,,,,,,,,Wano Country,
Ganryu,Chapter 552;Episode 461[1],Spade Pirates[1],Pirate[1],,Alive,,,,,,,,,
Ganryu,Chapter 966[1];Episode 968[2],Roger Pirates,Pirate,,Unknown,,,,,,,,,
,Chapter 951;Episode 951[1],Beasts Pirates;[2]Mimawarigumi(former)[1],Samurai;Pirate,,Alive,,,,,,,,Wano Country,
Gatherine,Chapter 379;Episode 266[1],World Government,Waitress,,Unknown,,,,,,,,,
,Chapter 954;Episode 955[1],,Shipwright,,Alive,,,,,,,,Wano Country,
Gyats,Chapter 702;Episode 631[1],Corrida Colosseum[1],Announcer[1],,Alive,,August 26th[2],,,,,,,
Gazelle-Man (Viz)Gazelleman (Funimation),Chapter 914;Episode 900[1],Beasts Pirates[1];Tama[2];Ninja-Pirate-Mink-Samurai Alliance(disbanded),Gifter[1],,Alive,,,,,,GazelleSMILE,Artificial Zoan,,
Gecko Moria,Chapter 449;Episode 343[1],Thriller Bark Pirates(Mysterious Four);Seven Warlords of the Sea[2](former);[3]Gecko Pirates(former),Pirate Captain;[4]Warlord of the Sea[2](former)[3],West Blue[5],Alive,48 (debut)[6]50 (after timeskip)[7],September 6th[7],"692 cm (22'8"") (debut, after timeskip)[6][7]",,X[5],Shadow-Shadow Fruit,Paramecia,Florian Triangle(former);Thriller Bark,"320,000,000[8][9]"
"Gedatsu (Viz, Uncut dub); Gedatz (Edited dub)",Chapter 241;Episode 155[1],Ukkari Hot-Spring Island;God's Army(former),"PriestofEnel[2](former), Head Clerk ofHot Springs Resort",Sky Islands(Birka)[3],Alive,29 (debut)31 (after timeskip)[3],August 10th[4],"220 cm (7'2"")[3]",,S[3],,,Ukkari Hot-Spring IslandSkypiea (former)Birka(former),
Gem,Chapter 110;Episode 65[1],New Spiders Cafe;Baroque Works[2](former),Cafe Employee;Officer Agent[2][3](former);Sniper(former),South Blue[5],Alive,24 (debut)26 (after timeskip)[5],July 26th[4],"197 cm (6'5"")[5]",,X[5],"Bomb-Bomb Fruit (4Kids, Funimation, Odex);Boom-Boom Fruit (Viz)",Paramecia,,"10,000,000[5]"
GenbouGenbo(OPCG),Chapter 249;Episode 163,Shandia; God's Guards[1],ShandiaWarrior; God's Guard[1],Sky Islands(Skypiea)[2],Alive,23 (debut)25 (after timeskip)[2],February 9th[3],"193 cm (6'4"")[2]",,S[2],,,,
,Chapter 940;Episode 937[1],,,,Alive,,,,,,,,"Ebisu Town,Wano Country[1]",
Genzo,Chapter 71;Episode 32[1],Cocoyasi Village,Sheriffof Cocoyasi Village,East Blue(Conomi Islands)[2],Alive,46 (debut)48 (after timeskip)[2],June 17th[2],"173 cm (5'8"")[2]",,F[2],,,Cocoyasi Village,
,,,,,,,,,,,Impel Down,,,
George Mach,Chapter 313;[1]Episode 217[2],Foxy Pirates[1],Pirate[1],,Alive,,,,,,,,,
Gerd,Chapter 866;Episode 836[1],New Giant Warrior Pirates;Buggy's Delivery(former);[2]Straw Hat Grand Fleet,Pirate;Doctor;Mercenary(former)[2],Grand Line(Elbaph)[3],Alive,75[4],February 25th[3],"1700 cm (55'9"")[3]",,S[3],,,Elbaph[1],
Ribbitini (VIZ);Gerotin (Crunchyroll),Chapter 1079;Episode 1112[1],Puddle Pirates;Red Hair Pirates,Pirate;Captain[1],,Alive,,,,,,,,,
Giberson,Chapter 860;Episode 828[1],Underworld[2],"Warehouseman(倉庫業老舗,Sōkogyō Shinise?, English versions: ""Warehouse Kingpin"");[2]Emperor of the Underworld[3]",,Alive,,August 14th[4],,,,,,,
Gig,Chapter 1024;[1]Episode 1067[2],Kid Pirates[1],Pirate[1],,Unknown,,,,,,,,,
Gimlet,Chapter 775;[1]Episode 715,,,,Deceased,,,,,,,,,
"Gin (VIZ, Odex);Ghin (4Kids, Funimation)",Chapter 44;Episode 21,Krieg Pirates,Pirate;Combat Commander,East Blue[2],Alive,25 (debut)27 (after timeskip)[2],April 7th[3],"186 cm (6'1"")[2]",,S[2],,,,"12,000,000[2]"
Gina,Chapter 318;Episode 215[1],Foxy Pirates[1],Shipwright[2],,Alive,,,,,,,,,
Ginko,Chapter 682;Episode 608[1],Punk Hazard,,,Alive,,,,,,,,,
,Chapter 919;Episode 909[1],,Student,,Alive,,,,,,,,Wano Country(Flower Capital),
Ginny,Chapter 1095;Episode 1129[1],Revolutionary Army(East Army);[2]Freedom Fighters(former),"East Army Captain of the Revolutionary Army,[2]Slave(former)[1][3]",Grand Line(Porco Kingdom)[4],Deceased,,October 21st[4],"174 cm (5'8½"")[4]",,F[4],,,South Blue(Sorbet Kingdom);[3]Mary Geoise(former),"190,000,000[4]"
Ginrummy,Chapter 795;Episode 739[1],Beasts Pirates[1],Shinuchi[2],,Unknown,,January 23rd[3],,,,SquirrelSMILE,Artificial Zoan,,
,Chapter 909;Episode 892[1],,Samurai[1],,Alive,,,,,,,,Wano Country(Flower Capital),
Giolla,Chapter 682;Episode 608[1],Donquixote Pirates[1],PirateOfficer[1],North Blue[4],Alive,61[2],January 25th[3],"221 cm (7'3"")[4]",,S[4],Art-Art Fruit,Paramecia,Spider Miles(former);Dressrosa(former),
Gion,SBS Volume 74;[1]Movie 13;[2]Chapter 907;Episode 887[3],Marines[1],Vice Admiral[1],,Alive,,,,,,,,,"At least ★★★★★(At least500,000,000)[4]"
